Striped Honeyeater	Plectorhyncha lanceolata	https://ebird.org/species/strhon1/	0.3062
Black-tailed Godwit	Limosa limosa	https://ebird.org/species/bktgod/	0.2928
Pacific Koel	Eudynamys orientalis	https://ebird.org/species/asikoe3/	0.2888
Pacific Golden-Plover	Pluvialis fulva	https://ebird.org/species/pagplo/	0.2844
Apostlebird	Struthidea cinerea	https://ebird.org/species/apostl1/	0.2729
Lewin's Rail	Lewinia pectoralis	https://ebird.org/species/lewrai1/	0.2722
Brush Cuckoo	Cacomantis variolosus	https://ebird.org/species/brucuc1/	0.2684
Black-faced Monarch	Monarcha melanopsis	https://ebird.org/species/blfmon1/	0.2515
Chestnut Quail-thrush	Cinclosoma castanotum	https://ebird.org/species/chequt1/	0.251
Grey Goshawk	Accipiter novaehollandiae	https://ebird.org/species/grygos1/	0.2444
Pilotbird	Pycnoptilus floccosus	https://ebird.org/species/pilotb1/	0.243
Whimbrel	Numenius phaeopus	https://ebird.org/species/whimbr/	0.2415
Pink Cockatoo	Cacatua leadbeateri	https://ebird.org/species/pincoc1/	0.2326
Grey-crowned Babbler	Pomatostomus temporalis	https://ebird.org/species/gycbab1/	0.23
Barn Owl	Tyto alba	https://ebird.org/species/brnowl/	0.227
Cockatiel	Nymphicus hollandicus	https://ebird.org/species/cockat/	0.2189
Arctic Jaeger	Stercorarius parasiticus	https://ebird.org/species/parjae/	0.1952
Purple-gaped Honeyeater	Lichenostomus cratitius	https://ebird.org/species/pughon1/	0.1905
Black-eared Cuckoo	Chrysococcyx osculans	https://ebird.org/species/blecuc1/	0.1898
Fluttering Shearwater	Puffinus gavia	https://ebird.org/species/flushe1/	0.1879
Common Sandpiper	Actitis hypoleucos	https://ebird.org/species/comsan/	0.1812
Mallee Emuwren	Stipiturus mallee	https://ebird.org/species/malemu1/	0.1811
White-backed Swallow	Cheramoeca leucosterna	https://ebird.org/species/whbswa3/	0.1786
Wood Sandpiper	Tringa glareola	https://ebird.org/species/woosan/	0.1758
Western Whistler	Pachycephala fuliginosa	https://ebird.org/species/weswhi2/	0.1746
Chestnut-rumped Heathwren	Hylacola pyrrhopygia	https://ebird.org/species/chrhea1/	0.1731
Chestnut-crowned Babbler	Pomatostomus ruficeps	https://ebird.org/species/chcbab2/	0.169
Painted Honeyeater	Grantiella picta	https://ebird.org/species/paihon1/	0.1684
Beautiful Firetail	Stagonopleura bella	https://ebird.org/species/beafir1/	0.1674
Square-tailed Kite	Lophoictinia isura	https://ebird.org/species/sqtkit1/	0.1656
Australasian Bittern	Botaurus poiciloptilus	https://ebird.org/species/ausbit1/	0.154
Black Honeyeater	Sugomel nigrum	https://ebird.org/species/blahon1/	0.1484
Black-faced Woodswallow	Artamus cinereus	https://ebird.org/species/blfwoo1/	0.148
Sanderling	Calidris alba	https://ebird.org/species/sander/	0.147
Pectoral Sandpiper	Calidris melanotos	https://ebird.org/species/pecsan/	0.1416
Rufous Fieldwren	Calamanthus campestris	https://ebird.org/species/ruffie2/	0.1393
Spotted Quail-thrush	Cinclosoma punctatum	https://ebird.org/species/spqthr1/	0.1383
Striated Grasswren	Amytornis striatus	https://ebird.org/species/strgra2/	0.138
White-headed Pigeon	Columba leucomela	https://ebird.org/species/whhpig1/	0.1281
Malleefowl	Leipoa ocellata	https://ebird.org/species/mallee1/	0.1251
Common Cicadabird	Edolisoma tenuirostre	https://ebird.org/species/cicada1/	0.1227
Plumed Whistling-Duck	Dendrocygna eytoni	https://ebird.org/species/plwduc1/	0.1145
Budgerigar	Melopsittacus undulatus	https://ebird.org/species/budger/	0.1145
Fairy Prion	Pachyptila turtur	https://ebird.org/species/faipri1/	0.1138
Crimson Chat	Epthianura tricolor	https://ebird.org/species/cricha1/	0.1085
Pacific Swift	Apus pacificus	https://ebird.org/species/fotswi/	0.0998
Greylag Goose	Anser anser	https://ebird.org/species/gragoo/	0.0956
Great Knot	Calidris tenuirostris	https://ebird.org/species/grekno/	0.0884
Grey Plover	Pluvialis squatarola	https://ebird.org/species/bkbplo/	0.0869
White-throated Nightjar	Eurostopodus mystacalis	https://ebird.org/species/whtnig3/	0.086
Little Buttonquail	Turnix velox	https://ebird.org/species/litbut1/	0.0843
Northern Giant-Petrel	Macronectes halli	https://ebird.org/species/norgip1/	0.0811
Terek Sandpiper	Xenus cinereus	https://ebird.org/species/tersan/	0.0799
White-fronted Tern	Sterna striata	https://ebird.org/species/whfter1/	0.0792
Wilson's Storm-Petrel	Oceanites oceanicus	https://ebird.org/species/wispet/	0.0781
Orange Chat	Epthianura aurifrons	https://ebird.org/species/oracha1/	0.0756
Sooty Owl	Tyto tenebricosa	https://ebird.org/species/sooowl1/	0.075
Orange-bellied Parrot	Neophema chrysogaster	https://ebird.org/species/orbpar1/	0.0733
White-browed Treecreeper	Climacteris affinis	https://ebird.org/species/whbtre2/	0.0679
Long-toed Stint	Calidris subminuta	https://ebird.org/species/lotsti/	0.0671
Eastern Reef Egret	Egretta sacra	https://ebird.org/species/pacreh1/	0.0663
Grey-backed Storm-Petrel	Garrodia nereis	https://ebird.org/species/gybstp1/	0.0654
Sooty Shearwater	Ardenna grisea	https://ebird.org/species/sooshe/	0.0646
White-chinned Petrel	Procellaria aequinoctialis	https://ebird.org/species/whcpet1/	0.0645
Spotted Nightjar	Eurostopodus argus	https://ebird.org/species/sponig1/	0.0635
White-faced Storm-Petrel	Pelagodroma marina	https://ebird.org/species/wfspet/	0.0635
Slender-billed Thornbill	Acanthiza iredalei	https://ebird.org/species/slbtho2/	0.0631
Great-winged Petrel	Pterodroma macroptera	https://ebird.org/species/grwpet3/	0.0624
Superb Parrot	Polytelis swainsonii	https://ebird.org/species/suppar1/	0.0597
Grey-tailed Tattler	Tringa brevipes	https://ebird.org/species/gyttat1/	0.0584
Broad-billed Sandpiper	Calidris falcinellus	https://ebird.org/species/brbsan/	0.0584
Australasian Figbird	Sphecotheres vieilloti	https://ebird.org/species/ausfig1/	0.058
Red-necked Phalarope	Phalaropus lobatus	https://ebird.org/species/renpha/	0.0576
Topknot Pigeon	Lopholaimus antarcticus	https://ebird.org/species/toppig1/	0.0559
