[sound:ebird2anki-ausmag2-538125.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501231.jpg">
<img src="ebird2anki-gryfan1-125802181.jpg">;;Grey Fantail;Rhipidura albiscapa;[sound:ebird2anki-gryfan1-539151.mp3]
[sound:ebird2anki-gryfan1-539153.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802151.jpg">
<img src="ebird2anki-bkfcus1-125783211.jpg">;;Black-faced Cuckooshrike;Coracina novaehollandiae;[sound:ebird2anki-bkfcus1-539053.mp3]
[sound:ebird2anki-eurbla-539287.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584641.jpg">
<img src="ebird2anki-houspa-63742391.jpg">;;House Sparrow;Passer domesticus;[sound:ebird2anki-houspa-550462.mp3]
<img src="ebird2anki-ausibi1-122678691.jpg">;;Australian White Ibis;Threskiornis molucca;[sound:ebird2anki-ausibi1-537928.mp3]
[sound:ebird2anki-houspa-550468.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305878491.jpg">
<img src="ebird2anki-gretea1-116456371.jpg">;;Grey Teal;Anas gracilis;[sound:ebird2anki-gretea1-537766.mp3]
<img src="ebird2anki-gryfan1-125802141.jpg">;;Grey Fantail;Rhipidura albiscapa;[sound:ebird2anki-gryfan1-539147.mp3]
<img src="ebird2anki-galah-122706061.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538602.mp3]
[sound:ebird2anki-ausibi1-537929.mp3];🎵;Australian White Ibis;Threskiornis molucca;<img src="ebird2anki-ausibi1-122678701.jpg">
[sound:ebird2anki-easros1-537987.mp3];🎵;Eastern Rosella;Platycercus eximius;<img src="ebird2anki-easros1-117500721.jpg">
[sound:ebird2anki-ausmag2-538123.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501241.jpg">
[sound:ebird2anki-eurcoo-553394.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601531.jpg">
<img src="ebird2anki-eurcoo-44601551.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-553394.mp3]
[sound:ebird2anki-ausgre1-537787.mp3];🎵;Australasian Grebe;Tachybaptus novaehollandiae;<img src="ebird2anki-ausgre1-116459191.jpg">
<img src="ebird2anki-eurcoo-44601541.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-538471.mp3]
<img src="ebird2anki-dusmoo1-122302331.jpg">;;Dusky Moorhen;Gallinula tenebrosa;[sound:ebird2anki-dusmoo1-538470.mp3]
[sound:ebird2anki-eurcoo-553392.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601571.jpg">
<img src="ebird2anki-eurcoo-44601531.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-553395.mp3]
[sound:ebird2anki-houspa-550462.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305874101.jpg">
<img src="ebird2anki-ausibi1-122678701.jpg">;;Australian White Ibis;Threskiornis molucca;[sound:ebird2anki-ausibi1-537930.mp3]
<img src="ebird2anki-bkfcus1-125783241.jpg">;;Black-faced Cuckooshrike;Coracina novaehollandiae;[sound:ebird2anki-bkfcus1-539053.mp3]
[sound:ebird2anki-eurbla-539285.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584651.jpg">
<img src="ebird2anki-hohgre1-122161231.jpg">;;Hoary-headed Grebe;Poliocephalus poliocephalus;[sound:ebird2anki-hohgre1-538376.mp3]
[sound:ebird2anki-gryfan1-539156.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802141.jpg">
[sound:ebird2anki-grybut1-539026.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125700941.jpg">
<img src="ebird2anki-golwhi1-125786851.jpg">;;Golden Whistler;Pachycephala pectoralis;[sound:ebird2anki-golwhi1-539093.mp3]
<img src="ebird2anki-greegr-70610201.jpg">;;Great Egret;Ardea alba;[sound:ebird2anki-greegr-549018.mp3]
[sound:ebird2anki-easspi1-538045.mp3];🎵;Eastern Spinebill;Acanthorhynchus tenuirostris;<img src="ebird2anki-easspi1-123615431.jpg">
<img src="ebird2anki-gretea1-116456411.jpg">;;Grey Teal;Anas gracilis;[sound:ebird2anki-gretea1-537765.mp3]
[sound:ebird2anki-galah-538600.mp3];🎵;Galah;Eolophus roseicapilla;<img src="ebird2anki-galah-122706041.jpg">
<img src="ebird2anki-ausgre1-116459231.jpg">;;Australasian Grebe;Tachybaptus novaehollandiae;[sound:ebird2anki-ausgre1-537787.mp3]
<img src="ebird2anki-galah-122706091.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538600.mp3]
<img src="ebird2anki-eurgol-256706761.jpg">;;European Goldfinch;Carduelis carduelis;[sound:ebird2anki-eurgol-553004.mp3]
